Metric,Mean,Standard Deviation
Average Manipulability,0.44196347717993084,0.17213302782849793
Number of states with manipulability < 0.01,7.142857142857143,2.4327694808466287
Percentage of states with manipulability < 0.01,55.65379148662462,17.465207860111704
Total Joint Norm Distance,5.73834693877551,1.1538186033469058
Total Time,12.795918367346939,1.6159863587615635
