Metric,Mean,Standard Deviation
Average Manipulability,1.553873018452508e-05,0.0
Number of states with manipulability < 0.01,17.0,0.0
Percentage of states with manipulability < 0.01,100.0,0.0
Total Joint Norm Distance,8.806000000000001,0.0
Total Time,17.0,0.0
