Metric,Mean,Standard Deviation
Average Closest Taxel Manipulability,0.11111111111859517,0.1571348402646377
Number of states with closest taxel manipulability < 0.01,9.666666666666666,1.699673171197595
Percentage of states with closest taxel manipulability < 0.01,88.88888888888887,15.713484026367727
Average Manipulability Cost,0.7962962962962963,0.1510139484287045
Number of states with manipulability cost > 0.35,8.666666666666666,1.699673171197595
Percentage of states with manipulability cost > 0.35,88.88888888888889,0.0
Total Joint Norm Distance,3.0263333333333335,0.4816321786961037
Total Time,11.0,1.4142135623730951
