Trial,1,Sim Type,5,Distance Weight,0.95,Random Seed,15,Min Iterations,2500,Distance cost,0.3754147407214803,Manip Cost,0.25,Total cost,0.3691440036854063,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Total Cost,0.0,0.08079,0.16377,0.37011
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.05,0.1,0.389
Joint 1: ,0.4,0.466,0.532,0.849
Joint 2: ,0.4,0.312,0.223,0.114
Joint 3: ,0.9,0.967,1.034,0.94
Joint 4: ,0.9,0.88,0.859,0.91
Joint 5: ,0.9,0.908,0.917,0.774
Joint 6: ,0.0,0.346,0.693,0.974
Trial,8,Sim Type,5,Distance Weight,0.95,Random Seed,120,Min Iterations,2500,Distance cost,0.3816664143905545,Manip Cost,0.3333333333333333,Total cost,0.3792497603376934,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.23,0.197
Total Cost,0.0,0.19504,0.37925
Local Manip Cost,0.0,-0.0,1.0
Joint 0: ,-0.2,0.192,0.402
Joint 1: ,0.4,0.518,0.846
Joint 2: ,0.4,0.18,0.091
Joint 3: ,0.9,1.077,0.934
Joint 4: ,0.9,0.821,0.884
Joint 5: ,0.9,0.952,0.772
Joint 6: ,0.0,-0.196,-0.377
Trial,9,Sim Type,5,Distance Weight,0.95,Random Seed,135,Min Iterations,2500,Distance cost,0.37657904027513267,Manip Cost,0.25,Total cost,0.370250088261376,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.121,0.109,0.191
Total Cost,0.0,0.1024,0.19526,0.37025
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.073,0.115,0.306
Joint 1: ,0.4,0.483,0.613,0.879
Joint 2: ,0.4,0.418,0.312,0.277
Joint 3: ,0.9,1.007,0.991,0.937
Joint 4: ,0.9,0.832,0.839,0.892
Joint 5: ,0.9,0.875,0.821,0.775
Joint 6: ,0.0,-0.063,-0.486,-0.55
Trial,10,Sim Type,5,Distance Weight,0.95,Random Seed,150,Min Iterations,2500,Distance cost,0.3835950027614179,Manip Cost,0.25,Total cost,0.37691525262334696,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,4.412185507e-11
Distance to Last Node,0.0,0.051,0.238,0.139
Total Cost,0.0,0.04343,0.24605,0.37692
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.206,0.095,0.229
Joint 1: ,0.4,0.384,0.678,0.901
Joint 2: ,0.4,0.406,0.364,0.413
Joint 3: ,0.9,1.018,1.075,1.012
Joint 4: ,0.9,0.884,0.99,1.073
Joint 5: ,0.9,0.967,0.862,0.714
Joint 6: ,0.0,0.236,0.518,0.534
Trial,11,Sim Type,5,Distance Weight,0.95,Random Seed,165,Min Iterations,2500,Distance cost,0.3814569106161996,Manip Cost,0.0,Total cost,0.36238406508538956,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20
Distance to Last Node,0.0,0.179,0.247
Total Cost,0.0,0.15226,0.36238
Local Manip Cost,0.0,-0.0,-0.0
Joint 0: ,-0.2,-0.022,0.39
Joint 1: ,0.4,0.474,0.837
Joint 2: ,0.4,0.409,0.1
Joint 3: ,0.9,1.117,0.995
Joint 4: ,0.9,0.807,1.057
Joint 5: ,0.9,0.926,0.718
Joint 6: ,0.0,0.456,0.723
Trial,12,Sim Type,5,Distance Weight,0.95,Random Seed,180,Min Iterations,2500,Distance cost,0.38530127584446927,Manip Cost,0.25,Total cost,0.3785362120522458,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.1,0.179,0.152
Total Cost,0.0,0.08496,0.23704,0.37854
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.129,0.039,0.22
Joint 1: ,0.4,0.455,0.681,0.931
Joint 2: ,0.4,0.392,0.425,0.442
Joint 3: ,0.9,1.01,1.076,0.961
Joint 4: ,0.9,0.821,0.876,0.969
Joint 5: ,0.9,0.984,0.948,0.78
Joint 6: ,0.0,0.079,0.141,0.189
Trial,13,Sim Type,5,Distance Weight,0.95,Random Seed,195,Min Iterations,2500,Distance cost,0.37705529839113605,Manip Cost,0.3333333333333333,Total cost,0.3748692001382459,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.191,0.231
Total Cost,0.0,0.16201,0.37487
Local Manip Cost,0.0,-0.0,1.0
Joint 0: ,-0.2,-0.008,0.242
Joint 1: ,0.4,0.557,0.921
Joint 2: ,0.4,0.422,0.389
Joint 3: ,0.9,1.043,0.94
Joint 4: ,0.9,0.891,0.983
Joint 5: ,0.9,0.951,0.815
Joint 6: ,0.0,0.016,0.236
Trial,14,Sim Type,5,Distance Weight,0.95,Random Seed,210,Min Iterations,2500,Distance cost,0.38235368695447436,Manip Cost,0.25,Total cost,0.3757360026067506,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.138,0.221,0.069
Total Cost,0.0,0.11708,0.30459,0.37574
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.094,0.121,0.206
Joint 1: ,0.4,0.476,0.8,0.918
Joint 2: ,0.4,0.402,0.503,0.473
Joint 3: ,0.9,1.075,1.078,0.997
Joint 4: ,0.9,0.827,1.014,1.015
Joint 5: ,0.9,0.901,0.798,0.717
Joint 6: ,0.0,0.456,0.361,0.22
Trial,15,Sim Type,5,Distance Weight,0.95,Random Seed,225,Min Iterations,2500,Distance cost,0.37638130270969633,Manip Cost,0.3333333333333333,Total cost,0.3742289042408782,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1e-20,4.499705769e-11
Distance to Last Node,0.0,0.212,0.209
Total Cost,0.0,0.18041,0.37423
Local Manip Cost,0.0,-0.0,1.0
Joint 0: ,-0.2,0.06,0.201
Joint 1: ,0.4,0.64,0.932
Joint 2: ,0.4,0.36,0.478
Joint 3: ,0.9,0.96,0.986
Joint 4: ,0.9,0.985,1.072
Joint 5: ,0.9,0.854,0.715
Joint 6: ,0.0,0.393,0.55
Trial,16,Sim Type,5,Distance Weight,0.95,Random Seed,240,Min Iterations,2500,Distance cost,0.3793446080401198,Manip Cost,0.25,Total cost,0.37287737763811385,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.082,0.121,0.222
Total Cost,0.0,0.0693,0.17203,0.37288
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.061,0.1,0.232
Joint 1: ,0.4,0.445,0.576,0.91
Joint 2: ,0.4,0.369,0.303,0.415
Joint 3: ,0.9,0.932,0.959,0.972
Joint 4: ,0.9,0.854,0.852,0.98
Joint 5: ,0.9,0.925,0.931,0.756
Joint 6: ,0.0,0.314,-0.145,-0.252
Trial,17,Sim Type,5,Distance Weight,0.95,Random Seed,255,Min Iterations,2500,Distance cost,0.37684327373263066,Manip Cost,0.3333333333333333,Total cost,0.37466777671266577,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.196,0.226
Total Cost,0.0,0.16614,0.37467
Local Manip Cost,0.0,-0.0,1.0
Joint 0: ,-0.2,0.032,0.313
Joint 1: ,0.4,0.538,0.863
Joint 2: ,0.4,0.34,0.258
Joint 3: ,0.9,1.059,0.981
Joint 4: ,0.9,0.829,0.973
Joint 5: ,0.9,0.93,0.725
Joint 6: ,0.0,0.298,0.66
Trial,18,Sim Type,5,Distance Weight,0.95,Random Seed,270,Min Iterations,2500,Distance cost,0.39287886329564486,Manip Cost,0.0,Total cost,0.3732349201308626,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20
Distance to Last Node,0.0,0.204,0.235
Total Cost,0.0,0.17329,0.37323
Local Manip Cost,0.0,-0.0,-0.0
Joint 0: ,-0.2,0.142,0.248
Joint 1: ,0.4,0.496,0.912
Joint 2: ,0.4,0.293,0.384
Joint 3: ,0.9,1.01,0.942
Joint 4: ,0.9,0.795,0.944
Joint 5: ,0.9,0.992,0.807
Joint 6: ,0.0,0.362,0.157
Trial,19,Sim Type,5,Distance Weight,0.95,Random Seed,285,Min Iterations,2500,Distance cost,0.3794942610023939,Manip Cost,0.25,Total cost,0.3730195479522742,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,4.406103511e-11
Distance to Last Node,0.0,0.077,0.236,0.112
Total Cost,0.0,0.06516,0.26547,0.37302
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.16,0.085,0.245
Joint 1: ,0.4,0.429,0.729,0.903
Joint 2: ,0.4,0.409,0.474,0.396
Joint 3: ,0.9,1.01,1.06,0.957
Joint 4: ,0.9,0.851,0.89,0.918
Joint 5: ,0.9,0.954,0.884,0.763
Joint 6: ,0.0,0.126,0.346,0.471
Trial,20,Sim Type,5,Distance Weight,0.95,Random Seed,300,Min Iterations,2500,Distance cost,0.37962948404172503,Manip Cost,0.25,Total cost,0.37314800983963875,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20
Distance to Last Node,0.0,0.1,0.199,0.125
Total Cost,0.0,0.08496,0.25433,0.37315
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.118,0.105,0.227
Joint 1: ,0.4,0.437,0.721,0.913
Joint 2: ,0.4,0.439,0.481,0.446
Joint 3: ,0.9,1.009,1.001,0.943
Joint 4: ,0.9,0.823,0.836,0.844
Joint 5: ,0.9,0.979,0.846,0.772
Joint 6: ,0.0,0.079,-0.047,-0.393
Trial,21,Sim Type,5,Distance Weight,0.95,Random Seed,315,Min Iterations,2500,Distance cost,0.37898714111370313,Manip Cost,0.25,Total cost,0.37253778405801796,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.25,Step Size,0.1,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,3.99701338e-11,1e-20
Distance to Last Node,0.0,0.043,0.227,0.154
Total Cost,0.0,0.03672,0.22919,0.37254
Local Manip Cost,0.0,-0.0,-0.0,1.0
Joint 0: ,-0.2,-0.168,0.095,0.284
Joint 1: ,0.4,0.452,0.662,0.888
Joint 2: ,0.4,0.409,0.361,0.307
Joint 3: ,0.9,0.922,1.037,0.954
