Metric,Mean,Standard Deviation
Average Closest Taxel Manipulability,0.4433204250009375,0.13623352515268794
Number of states with closest taxel manipulability < 0.01,5.916666666666667,1.3514395616855712
Percentage of states with closest taxel manipulability < 0.01,54.21749546749547,15.825604791903752
Average Manipulability Cost,0.14305915212424528,0.04472870687158648
Number of states with manipulability cost > 0.35,0.9583333333333334,1.135751097536584
Percentage of states with manipulability cost > 0.35,44.44444444444444,0.0
Total Joint Norm Distance,3.172083333333333,1.0171888105897
Total Time,11.291666666666666,1.790697412245358
