Metric,Mean,Standard Deviation
Average Manipulability,0.25176223899666117,0.16404801063376057
Number of states with manipulability < 0.01,2.4583333333333335,1.7554478694117412
Percentage of states with manipulability < 0.01,27.75282587782588,21.238412799961036
Total Joint Norm Distance,3.920583333333333,1.6895662637855378
Total Time,9.541666666666666,1.9144008346100239
