Trial,1,Sim Type,5,Distance Weight,1,Random Seed,15,Min Iterations,2500,Distance cost,0.40635534051610334,Manip Cost,0.19795099846146677,Total cost,0.40635534051610334,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Distance to Last Node,0.0,0.099,0.056,0.121,0.113
Total Cost,0.0,0.1039,0.16255,0.28864,0.40717
Local Manip Cost,0.0,0.0,0.4147384364525153,0.3442096707957398,0.30008784478374845
Joint 0: ,-0.3,0.032,-0.039,0.111,0.259
Joint 1: ,0.3,0.633,0.573,0.674,0.874
Joint 2: ,0.4,0.344,0.352,0.355,0.379
Joint 3: ,1.2,1.025,1.06,1.151,0.986
Joint 4: ,0.5,0.688,0.641,0.729,0.805
Joint 5: ,1.2,0.997,1.068,0.864,0.706
Joint 6: ,0.0,0.314,0.518,1.1,1.021
Trial,7,Sim Type,5,Distance Weight,1,Random Seed,105,Min Iterations,2500,Distance cost,0.4153105288039035,Manip Cost,0.26071162841070356,Total cost,0.4153105288039035,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.087,0.124,0.05,0.125,0.012
Total Cost,0.0,0.09129,0.22088,0.27311,0.4033,0.41531
Local Manip Cost,0.0,0.0,0.38689876228689324,0.4104979385086432,0.4382522270408622,0.3286208426278228
Joint 0: ,-0.3,-0.034,0.284,0.304,0.42,0.426
Joint 1: ,0.3,0.776,0.838,0.876,0.795,0.821
Joint 2: ,0.4,0.435,0.317,0.306,0.134,0.135
Joint 3: ,1.2,0.984,0.967,0.926,0.972,0.945
Joint 4: ,0.5,0.66,0.759,0.775,0.571,0.574
Joint 5: ,1.2,0.885,0.796,0.765,0.68,0.661
Joint 6: ,0.0,-0.204,-0.644,-0.66,-1.505,-1.504
Trial,8,Sim Type,5,Distance Weight,1,Random Seed,120,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
