Trial,1,Sim Type,5,Distance Weight,0.8,Random Seed,15,Min Iterations,2500,Distance cost,0.41426236034376673,Manip Cost,0.12488156001388975,Total cost,0.34175663423796654,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,4.092495247e-11,0.0
Distance to Last Node,0.0,0.123,0.103,0.083,0.087
Total Cost,0.0,0.10319,0.1892,0.26327,0.34176
Local Manip Cost,0.0,0.0,0.0,0.2820636438944801,0.34234415617496866
Joint 0: ,-0.3,0.139,0.239,0.31,0.346
Joint 1: ,0.3,0.406,0.58,0.726,0.898
Joint 2: ,0.4,0.133,0.126,0.151,0.231
Joint 3: ,1.2,1.177,1.054,0.955,0.819
Joint 4: ,0.5,0.472,0.471,0.536,0.681
Joint 5: ,1.2,1.243,1.171,1.071,0.911
Joint 6: ,0.0,-1.052,-1.508,-1.809,-1.744
Trial,2,Sim Type,5,Distance Weight,0.8,Random Seed,30,Min Iterations,2500,Distance cost,0.43273710736901877,Manip Cost,0.0938064441652509,Total cost,0.35430839175534384,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.111,0.037,0.116,0.057,0.094
Total Cost,0.0,0.09238,0.12335,0.22065,0.27146,0.35431
Local Manip Cost,0.0,0.0,0.0,0.0,0.2626540269183964,0.3001846380731089
Joint 0: ,-0.3,0.202,0.196,0.019,0.13,0.252
Joint 1: ,0.3,0.323,0.378,0.653,0.719,0.891
Joint 2: ,0.4,0.004,0.085,0.483,0.45,0.425
Joint 3: ,1.2,1.348,1.238,1.224,1.121,0.944
Joint 4: ,0.5,0.273,0.352,0.516,0.61,0.721
Joint 5: ,1.2,1.173,1.075,1.031,0.937,0.724
Joint 6: ,0.0,1.398,1.477,2.136,1.979,1.917
Trial,3,Sim Type,5,Distance Weight,0.8,Random Seed,45,Min Iterations,2500,Distance cost,0.4082065200699007,Manip Cost,0.056923348690368705,Total cost,0.3312125124718448,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
