Trial,1,Sim Type,5,Distance Weight,0.7,Random Seed,15,Min Iterations,2500,Distance cost,0.4171585596703382,Manip Cost,0.10273311552023544,Total cost,0.3048677913194971,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.123,0.057,0.077,0.114,0.028
Total Cost,0.0,0.09029,0.1322,0.18828,0.27805,0.30487
Local Manip Cost,0.0,0.0,0.0,0.0,0.27651115258644265,0.33988754053496995
Joint 0: ,-0.3,0.139,0.223,0.264,0.318,0.346
Joint 1: ,0.3,0.406,0.494,0.607,0.846,0.898
Joint 2: ,0.4,0.133,0.123,0.206,0.228,0.231
Joint 3: ,1.2,1.177,1.073,1.039,0.865,0.819
Joint 4: ,0.5,0.472,0.465,0.545,0.65,0.681
Joint 5: ,1.2,1.243,1.212,1.125,0.953,0.911
Joint 6: ,0.0,-1.052,-1.508,-1.547,-1.744,-1.744
Trial,2,Sim Type,5,Distance Weight,0.7,Random Seed,30,Min Iterations,2500,Distance cost,0.43273710736901877,Manip Cost,0.0938064441652509,Total cost,0.3150940339485064,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.111,0.037,0.116,0.057,0.094
Total Cost,0.0,0.08084,0.10793,0.19307,0.23972,0.31509
Local Manip Cost,0.0,0.0,0.0,0.0,0.2626540269183964,0.3001846380731089
Joint 0: ,-0.3,0.202,0.196,0.019,0.13,0.252
Joint 1: ,0.3,0.323,0.378,0.653,0.719,0.891
Joint 2: ,0.4,0.004,0.085,0.483,0.45,0.425
Joint 3: ,1.2,1.348,1.238,1.224,1.121,0.944
Joint 4: ,0.5,0.273,0.352,0.516,0.61,0.721
Joint 5: ,1.2,1.173,1.075,1.031,0.937,0.724
Joint 6: ,0.0,1.398,1.477,2.136,1.979,1.917
Trial,3,Sim Type,5,Distance Weight,0.7,Random Seed,45,Min Iterations,2500,Distance cost,0.4082065200699007,Manip Cost,0.056923348690368705,Total cost,0.2927155086728168,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,0.0,0.0
Distance to Last Node,0.0,0.06,0.109,0.107,0.115
Total Cost,0.0,0.04399,0.12388,0.20196,0.29272
Local Manip Cost,0.0,0.0,0.0,0.0,0.2846167434518435
Joint 0: ,-0.3,-0.224,0.005,0.177,0.297
Joint 1: ,0.3,0.362,0.474,0.663,0.854
Joint 2: ,0.4,0.444,0.362,0.288,0.291
Joint 3: ,1.2,1.218,1.236,1.118,1.028
Joint 4: ,0.5,0.521,0.616,1.003,1.033
Joint 5: ,1.2,1.185,0.873,0.809,0.658
Joint 6: ,0.0,0.016,0.958,1.131,1.497
Trial,4,Sim Type,5,Distance Weight,0.7,Random Seed,60,Min Iterations,2500,Distance cost,0.4071330941905946,Manip Cost,0.0861033756950027,Total cost,0.29550982606350473,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.07308721388897628,0.07833719612138769,4.111375402e-11
Distance to Last Node,0.0,0.063,0.117,0.111,0.098
Total Cost,0.0,0.04639,0.13226,0.21824,0.29551
Local Manip Cost,0.0,0.0,0.0,0.20744299869428284,0.22307387978073062
Joint 0: ,-0.3,-0.272,-0.036,0.215,0.34
Joint 1: ,0.3,0.427,0.533,0.671,0.821
Joint 2: ,0.4,0.423,0.338,0.176,0.217
Joint 3: ,1.2,1.24,1.296,1.251,1.08
Joint 4: ,0.5,0.783,0.766,1.023,1.136
Joint 5: ,1.2,1.182,0.864,0.718,0.572
Joint 6: ,0.0,0.88,1.053,1.319,1.539
Trial,5,Sim Type,5,Distance Weight,0.7,Random Seed,75,Min Iterations,2500,Distance cost,0.40766506379257,Manip Cost,0.11124683394784611,Total cost,0.29897097895222,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,5.814095962e-11,0.0
Distance to Last Node,0.0,0.123,0.084,0.098,0.086
Total Cost,0.0,0.0898,0.15121,0.22897,0.29897
Local Manip Cost,0.0,0.0,0.0,0.2670554198805599,0.2891787498586707
Joint 0: ,-0.3,0.082,0.316,0.473,0.571
Joint 1: ,0.3,0.428,0.559,0.749,0.849
Joint 2: ,0.4,0.148,-0.011,-0.166,-0.165
Joint 3: ,1.2,1.182,1.055,0.893,0.814
