Trial,1,Sim Type,5,Distance Weight,0.97,Random Seed,15,Min Iterations,2500,Distance cost,0.41426236034376673,Manip Cost,0.12488156001388975,Total cost,0.4033865014278967,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Joint 0: ,-0.3,0.119,0.168,0.245,0.258,0.275
Joint 1: ,0.3,0.863,0.815,0.918,0.871,0.893
Joint 2: ,0.4,0.402,0.465,0.402,0.357,0.36
Joint 3: ,1.2,0.883,0.849,0.911,0.931,0.924
Joint 4: ,0.5,0.83,0.893,0.833,0.794,0.797
Joint 5: ,1.2,0.851,0.811,0.819,0.786,0.776
Joint 6: ,0.0,0.33,0.581,0.581,0.943,0.943
Trial,7,Sim Type,5,Distance Weight,0.97,Random Seed,105,Min Iterations,2500,Distance cost,0.40748255471075534,Manip Cost,0.24708269720047654,Total cost,0.39827853472983493,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.097,0.099,0.121,0.073
Total Cost,0.0,0.09819,0.19977,0.3236,0.39828
Local Manip Cost,0.0,0.0,0.45913098833664606,0.36232283739961,0.41395966026612663
Joint 0: ,-0.3,0.285,0.198,0.243,0.365
Joint 1: ,0.3,0.918,0.703,0.769,0.874
Joint 2: ,0.4,0.522,0.202,0.378,0.282
Joint 3: ,1.2,0.817,0.96,0.9,0.831
Joint 4: ,0.5,0.708,0.315,0.369,0.395
Joint 5: ,1.2,0.74,0.975,0.906,0.826
Joint 6: ,0.0,-0.377,-1.037,-1.304,-1.21
Trial,8,Sim Type,5,Distance Weight,0.97,Random Seed,120,Min Iterations,2500,Distance cost,0.4114296534762472,Manip Cost,0.14650094644610764,Total cost,0.4008950088808677,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.086,0.059,0.106,0.041,0.102
Total Cost,0.0,0.08684,0.1471,0.25493,0.29713,0.4009
Local Manip Cost,0.0,0.0,0.0,0.2744434869835651,0.28152706138692124,0.3230351303061595
Joint 0: ,-0.3,-0.142,-0.064,0.007,0.022,0.175
Joint 1: ,0.3,0.415,0.528,0.678,0.782,0.892
Joint 2: ,0.4,0.347,0.355,0.465,0.537,0.568
Joint 3: ,1.2,1.181,1.13,1.193,1.133,1.084
Joint 4: ,0.5,0.744,0.796,1.001,1.08,0.958
Joint 5: ,1.2,1.145,1.079,0.656,0.755,0.505
Joint 6: ,0.0,-1.288,-1.32,-1.665,-1.757,-2.058
