Metric,Mean,Standard Deviation
Average Manipulability,0.11836087186244929,0.0015068387184366209
Number of states with manipulability < 0.01,925.1333333333333,2.459448899426229
Percentage of states with manipulability < 0.01,88.16391281466778,0.15068387184238877
Total Joint Norm Distance,705.9489923612605,3.5188697854201156
Total Time,5.693701124191284,0.5123974170756933
