Metric,Mean,Standard Deviation
Average Manipulability,0.22874978254185704,0.20509254035769958
Number of states with manipulability < 0.01,9.040816326530612,2.5391560840809455
Percentage of states with manipulability < 0.01,77.12614766186196,20.509718454190693
Total Joint Norm Distance,5.226020408163265,0.9848345036520131
Total Time,11.755102040816327,1.2702339852730968
