Metric,Mean,Standard Deviation
Average Closest Taxel Manipulability,0.44332042500115937,0.13623352515284037
Number of states with closest taxel manipulability < 0.01,5.916666666666667,1.3514395616855712
Percentage of states with closest taxel manipulability < 0.01,54.21749546749547,15.825604791903752
Average Manipulability Cost,0.14252093041203515,0.045165545318243135
Number of states with manipulability cost > 0.35,0.875,1.165922381636102
Percentage of states with manipulability cost > 0.35,44.44444444444444,0.0
Total Joint Norm Distance,3.166625,1.0186882828953776
Total Time,11.291666666666666,1.790697412245358
