Metric,Mean,Standard Deviation
Average Closest Taxel Manipulability,0.40674604345990256,0.1619583228405037
Number of states with closest taxel manipulability < 0.01,6.5,2.23606797749979
Percentage of states with closest taxel manipulability < 0.01,58.35838351463351,17.8157506652831
Average Manipulability Cost,0.15830792402530144,0.06050499150863857
Number of states with manipulability cost > 0.35,1.4166666666666667,1.913040047208166
Percentage of states with manipulability cost > 0.35,44.44444444444444,0.0
Total Joint Norm Distance,3.173083333333333,0.9898861852365768
Total Time,11.291666666666666,1.7435396627423063
