Joint 3: ,1.2,0.984,0.967,0.926,0.972,0.945
Joint 4: ,0.5,0.66,0.759,0.775,0.571,0.574
Joint 5: ,1.2,0.885,0.796,0.765,0.68,0.661
Joint 6: ,0.0,-0.204,-0.644,-0.66,-1.505,-1.504
Trial,8,Sim Type,5,Distance Weight,1,Random Seed,120,Min Iterations,2000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,9,Sim Type,5,Distance Weight,1,Random Seed,135,Min Iterations,2000,Distance cost,0.4019938332456676,Manip Cost,0.4443110379501321,Total cost,0.3818941415833842,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,2.253241242e-11,0.0,0.07764917429991235,0.07839913311481417
Distance to Last Node,0.0,0.113,0.058,0.117,0.096
Total Cost,0.0,0.11234,0.17002,0.28627,0.38189
Joint 0: ,-0.3,-0.103,0.06,0.278,0.387
Joint 1: ,0.3,0.442,0.461,0.618,0.796
Joint 2: ,0.4,0.424,0.243,0.141,0.16
Joint 3: ,1.2,1.162,1.268,1.273,1.137
Joint 4: ,0.5,0.539,0.866,1.197,1.293
Joint 5: ,1.2,1.191,0.93,0.617,0.459
Joint 6: ,0.0,0.283,1.184,2.258,2.132
Trial,10,Sim Type,5,Distance Weight,1,Random Seed,150,Min Iterations,2000,Distance cost,0.43715852709768827,Manip Cost,0.8333333333333334,Total cost,0.41530060074280384,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,2.420412535e-11,0.0,3.541634284e-11,0.0,0.0
Distance to Last Node,0.0,0.112,0.05,0.11,0.075,0.072
Total Cost,0.0,0.11072,0.16034,0.26978,0.34385,0.4153
Joint 0: ,-0.3,0.025,0.291,0.253,0.385,0.388
Joint 1: ,0.3,0.49,0.79,0.517,0.677,0.834
Joint 2: ,0.4,0.231,0.221,0.187,0.16,0.223
Joint 3: ,1.2,1.17,1.048,1.224,1.079,0.923
Joint 4: ,0.5,0.531,0.773,0.287,0.346,0.462
Joint 5: ,1.2,0.859,0.69,1.023,0.833,0.686
Joint 6: ,0.0,-1.162,-1.414,-1.837,-1.759,-1.885
Trial,11,Sim Type,5,Distance Weight,1,Random Seed,165,Min Iterations,2000,Distance cost,0.3967995821983691,Manip Cost,0.8,Total cost,0.3769596030884506,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.089,0.121,0.059,0.111
Total Cost,0.0,0.08841,0.20832,0.26719,0.37696
Joint 0: ,-0.3,-0.175,-0.101,0.038,0.241
Joint 1: ,0.3,0.398,0.65,0.73,0.872
Joint 2: ,0.4,0.458,0.624,0.552,0.438
Joint 3: ,1.2,1.207,1.171,1.081,0.995
Joint 4: ,0.5,0.537,0.713,0.688,0.702
Joint 5: ,1.2,1.068,0.961,0.877,0.669
Joint 6: ,0.0,0.456,0.864,1.068,0.864
Trial,12,Sim Type,5,Distance Weight,1,Random Seed,180,Min Iterations,2000,Distance cost,0.40934123122524846,Manip Cost,0.2729060135880969,Total cost,0.388874169663986,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.07258179323483685,0.07681109032042291,0.04059267735535916
Distance to Last Node,0.0,0.05,0.114,0.123,0.105
Total Cost,0.0,0.04962,0.16239,0.28444,0.38887
Joint 0: ,-0.3,0.202,-0.0,0.48,0.548
Joint 1: ,0.3,0.824,0.473,0.651,0.799
Joint 2: ,0.4,0.157,0.272,-0.253,-0.168
Joint 3: ,1.2,1.126,1.328,1.19,1.045
Joint 4: ,0.5,0.984,0.911,1.017,1.156
Joint 5: ,1.2,0.697,0.69,0.738,0.64
