Metric,Mean,Standard Deviation
Average Manipulability,0.3028583602587863,0.119313258111559
Number of states with manipulability < 0.01,3.1785714285714284,1.4405745735784787
Percentage of states with manipulability < 0.01,54.268707482993186,23.120815538327975
Total Joint Norm Distance,1.2524285714285714,0.25280405011609686
Total Time,5.785714285714286,0.6738557951469003
