Trial,1,Sim Type,3,Distance Weight,1,Random Seed,15,Min Iterations,5000,Distance cost,0.658472956569052,Manip Cost,0.36499883686747014,Total cost,0.6255493087405994,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,2.442040199e-11,1.0,0.0,2.172713731456131e-05,1.0,1.0,1.0,1.0,2.542193989399732e-05,2.870307192353557e-05
Distance to Last Node,0.0,0.115,0.098,0.039,0.104,0.051,0.118,0.117,0.03,0.027,0.056,0.057
Total Cost,0.0,0.08816,0.16373,0.19413,0.27422,0.31347,0.40391,0.49412,0.51725,0.5384,0.58161,0.62555
Joint 0: ,0.4,0.171,-0.029,-0.008,0.036,-0.233,-0.516,-0.516,-0.568,-0.641,-0.663,-0.686
Joint 1: ,-1.45,-1.381,-1.384,-1.188,-1.299,-1.352,-1.152,-0.996,-1.14,-1.182,-1.308,-1.435
Joint 2: ,1.0,1.146,1.217,0.838,0.422,0.782,0.788,0.503,0.664,0.805,0.983,1.161
Joint 3: ,-0.4,-0.697,-0.882,-1.009,-0.897,-0.945,-1.175,-1.237,-1.047,-1.026,-0.763,-0.499
Joint 4: ,-0.1,-0.062,-0.119,-0.073,0.122,0.028,-0.229,-0.49,-0.666,-0.832,-1.095,-1.357
Joint 5: ,-1.7,-1.879,-1.979,-1.893,-2.445,-2.216,-1.808,-1.557,-1.876,-1.867,-2.065,-2.262
Joint 6: ,0.5,0.218,-0.081,0.789,2.006,1.236,0.686,1.657,0.473,-0.757,-2.1,-3.442
