Trial,1,Sim Type,3,Distance Weight,0.8,Random Seed,15,Min Iterations,5000,Distance cost,0.6724094790030838,Manip Cost,0.11238763325738653,Total cost,0.5110312040423437,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.452492435665598e-05
Distance to Last Node,0.0,0.1,0.109,0.079,0.101,0.044,0.111,0.021,0.02,0.021,0.059,0.05,0.115
Total Cost,0.0,0.12802,0.16251,0.17716,0.23938,0.26649,0.33479,0.34791,0.3602,0.37286,0.40918,0.44009,0.51103
Joint 0: ,0.4,0.198,0.221,0.107,0.014,0.004,-0.308,-0.306,-0.303,-0.3,-0.497,-0.694,-0.656
Joint 1: ,-1.45,-1.394,-1.136,-1.094,-1.034,-1.177,-1.101,-1.132,-1.164,-1.195,-1.216,-1.238,-1.39
Joint 2: ,1.0,0.991,0.501,0.242,-0.074,0.178,0.106,0.201,0.297,0.392,0.704,1.016,0.909
Joint 3: ,-0.4,-0.626,-0.755,-0.863,-1.039,-0.732,-0.992,-0.94,-0.888,-0.836,-0.901,-0.965,-0.502
Joint 4: ,-0.1,-0.1,-0.05,0.518,0.755,0.071,0.536,0.232,-0.072,-0.375,-0.629,-0.883,-1.127
Joint 5: ,-1.7,-1.751,-1.858,-2.032,-1.992,-2.331,-2.102,-2.166,-2.231,-2.295,-2.122,-1.948,-2.192
Joint 6: ,0.5,0.487,1.942,3.434,3.329,2.14,3.183,1.827,0.47,-0.887,0.373,1.633,2.821
