Metric,Mean,Standard Deviation
Average Manipulability,0.2175653247403584,0.05588024319534295
Number of states with manipulability < 0.01,3.5714285714285716,1.1157499537009505
Percentage of states with manipulability < 0.01,67.73809523809523,20.11975203049748
Total Joint Norm Distance,1.0475714285714286,0.18257003129355764
Total Time,5.285714285714286,0.45175395145262565
