Trial,1,Sim Type,5,Distance Weight,0.7,Random Seed,15,Min Iterations,2500,Distance cost,6.255059950884378,Manip Cost,2.5473023130614276,Total cost,5.142732659537493,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1e-20,1e-20,4.029367458e-11,1e-20,1e-20,4.295739264e-11,4.387650722e-11,4.476926795e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.032,0.05,0.038,0.05
Total Cost,0.0,0.46667,0.93333,1.4,1.94778,2.49865,3.07476,3.50313,4.08579,4.55066,5.14273
Local Manip Cost,0.0,0.0,0.0,0.0,0.2703855320291014,0.2806842965414543,0.36479498648980174,0.4474175100268624,0.3866445157003811,0.3793479441553709,0.4180275281184557
Joint 0: ,-0.2,-0.158,-0.088,-0.019,0.005,0.08,0.1,0.126,0.14,0.156,0.203
Joint 1: ,0.4,0.447,0.476,0.547,0.58,0.679,0.743,0.793,0.844,0.876,0.921
Joint 2: ,0.4,0.414,0.446,0.467,0.469,0.479,0.471,0.469,0.46,0.457,0.464
Joint 3: ,0.9,0.937,0.925,0.917,0.974,0.901,0.911,0.897,0.929,0.96,0.973
Joint 4: ,0.9,0.895,0.942,0.99,0.977,1.008,1.005,1.008,1.001,0.994,0.993
Joint 5: ,0.9,0.907,0.891,0.836,0.861,0.791,0.777,0.756,0.758,0.765,0.76
Joint 6: ,0.0,-0.0,0.047,0.094,0.094,0.126,0.126,0.126,0.126,0.126,0.126
Trial,2,Sim Type,5,Distance Weight,0.7,Random Seed,30,Min Iterations,2500,Distance cost,6.366710288378921,Manip Cost,2.104013805537814,Total cost,5.087901343526589,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,2.4776962e-11,1e-20,4.092010824e-11,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.068,0.05,0.05,0.073,0.05,0.05,0.072,0.015
Total Cost,0.0,0.46667,1.10459,1.57126,2.115,2.88153,3.47195,4.06601,4.83309,5.0879
Local Manip Cost,0.0,0.0,0.0,0.0,0.25689925434033123,0.28724609496358733,0.4125227843563126,0.42464578998639985,0.3273101851905586,0.39538969670062424
Joint 0: ,-0.2,-0.143,-0.084,-0.037,0.03,0.154,0.183,0.238,0.246,0.24
Joint 1: ,0.4,0.405,0.459,0.508,0.605,0.725,0.753,0.822,0.895,0.908
Joint 2: ,0.4,0.432,0.409,0.424,0.421,0.418,0.422,0.429,0.411,0.404
Joint 3: ,0.9,0.932,1.001,1.033,0.982,0.88,0.927,0.91,0.952,0.958
Joint 4: ,0.9,0.9,0.896,0.892,0.939,0.973,0.955,0.96,0.943,0.941
Joint 5: ,0.9,0.917,0.932,0.935,0.879,0.789,0.834,0.786,0.767,0.766
Joint 6: ,0.0,0.0,0.11,0.11,0.157,0.22,0.236,0.236,0.251,0.251
Trial,3,Sim Type,5,Distance Weight,0.7,Random Seed,45,Min Iterations,2500,Distance cost,7.263543704453381,Manip Cost,1.1593709218095256,Total cost,5.432291869660225,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.059,0.05,0.069,0.069,0.05,0.05,0.048
Total Cost,0.0,0.46667,0.93333,1.4,1.95286,2.41953,3.06146,3.78305,4.33529,4.89251,5.43229
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2675124439257307,0.2852461231874096,0.30184973490857464,0.3047626197878106
Joint 0: ,-0.2,-0.218,-0.181,-0.134,-0.042,-0.011,-0.002,0.075,0.128,0.193,0.247
Joint 1: ,0.4,0.299,0.279,0.316,0.354,0.393,0.524,0.627,0.722,0.812,0.907
Joint 2: ,0.4,0.393,0.42,0.444,0.395,0.374,0.395,0.416,0.374,0.382,0.401
Joint 3: ,0.9,1.01,1.084,1.132,1.196,1.259,1.219,1.213,1.136,1.058,0.938
Joint 4: ,0.9,0.803,0.784,0.767,0.735,0.704,0.739,0.74,0.759,0.806,0.869
Joint 5: ,0.9,1.01,1.059,1.101,1.13,1.172,1.025,0.998,0.931,0.865,0.776
Joint 6: ,0.0,0.079,0.094,0.11,0.236,0.267,-0.031,-0.063,-0.11,-0.157,-0.22
Trial,4,Sim Type,5,Distance Weight,0.7,Random Seed,60,Min Iterations,2500,Distance cost,7.275943979341102,Manip Cost,1.5336626534018305,Total cost,5.55325958155932,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,4.349187426e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.035
Total Cost,0.0,0.46667,0.93333,1.4,1.86667,2.33333,2.8,3.34319,3.89247,4.56223,5.12167,5.55326
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25507860006120864,0.2753814089925068,0.3510002466584096,0.30926854587856795,0.3429338518111373
Joint 0: ,-0.2,-0.166,-0.09,-0.064,-0.039,0.041,0.096,0.118,0.154,0.188,0.222,0.258
Joint 1: ,0.4,0.36,0.419,0.375,0.379,0.476,0.532,0.581,0.674,0.775,0.838,0.885
Joint 2: ,0.4,0.427,0.458,0.474,0.436,0.461,0.478,0.474,0.439,0.428,0.388,0.352
Joint 3: ,0.9,0.941,0.933,1.012,1.09,1.026,1.047,1.096,1.017,0.991,0.985,0.969
Joint 4: ,0.9,0.916,0.963,0.916,0.867,0.889,0.888,0.876,0.894,0.898,0.893,0.89
Joint 5: ,0.9,0.937,0.911,0.979,1.058,0.987,0.98,0.99,0.917,0.871,0.808,0.761
Joint 6: ,0.0,0.0,0.047,0.047,0.046,-0.001,-0.032,-0.032,-0.079,-0.095,-0.126,-0.142
Trial,5,Sim Type,5,Distance Weight,0.7,Random Seed,75,Min Iterations,2500,Distance cost,6.34703281457391,Manip Cost,1.5299536421922344,Total cost,4.901909062859407,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.066,0.05,0.05,0.05,0.065,0.073,0.021
Total Cost,0.0,0.46667,0.93333,1.55111,2.01778,2.56084,3.11144,3.81598,4.59376,4.90191
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.25465792371504914,0.2797704471822039,0.3210432681980132,0.31235307322198297,0.3621289298749853
Joint 0: ,-0.2,-0.214,-0.162,-0.074,-0.048,0.006,0.063,0.125,0.241,0.266
Joint 1: ,0.4,0.302,0.357,0.438,0.502,0.563,0.644,0.761,0.862,0.9
Joint 2: ,0.4,0.403,0.427,0.354,0.353,0.373,0.386,0.39,0.359,0.35
Joint 3: ,0.9,1.008,1.038,1.063,1.091,1.103,1.08,1.032,0.967,0.942
Joint 4: ,0.9,0.821,0.821,0.824,0.819,0.827,0.849,0.868,0.913,0.929
Joint 5: ,0.9,0.996,0.995,0.993,0.99,0.967,0.93,0.871,0.812,0.79
Joint 6: ,0.0,0.079,0.11,0.22,0.22,0.22,0.251,0.267,0.283,0.283
Trial,6,Sim Type,5,Distance Weight,0.7,Random Seed,90,Min Iterations,2500,Distance cost,6.247129163221449,Manip Cost,1.1128625692269816,Total cost,4.706849185023109,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,4.356923585e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.069,0.05,0.05
Total Cost,0.0,0.46667,0.93333,1.4,1.86667,2.33333,2.87405,3.59643,4.15164,4.70685
