Trial,1,Sim Type,5,Distance Weight,0.9,Random Seed,15,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,2,Sim Type,5,Distance Weight,0.9,Random Seed,30,Min Iterations,2500,Distance cost,6.087148796867803,Manip Cost,1.9122811470625347,Total cost,5.669662031887276,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Distance to Last Node,0.0,0.05,0.05,0.066,0.05,0.05,0.05,0.05,0.05,0.05
Total Cost,0.0,0.6,1.2,1.99429,2.59429,3.21976,3.84773,4.47984,5.11231,5.74583
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.25465792371504914,0.2797704471822039,0.3210432681980132,0.324775776770233,0.3351713076996294
Joint 0: ,-0.2,-0.214,-0.162,-0.074,-0.048,0.006,0.063,0.112,0.172,0.235
Joint 1: ,0.4,0.302,0.357,0.438,0.502,0.563,0.644,0.734,0.815,0.893
Joint 2: ,0.4,0.403,0.427,0.354,0.353,0.373,0.386,0.391,0.4,0.395
Joint 3: ,0.9,1.008,1.038,1.063,1.091,1.103,1.08,1.043,1.004,0.966
Joint 4: ,0.9,0.821,0.821,0.824,0.819,0.827,0.849,0.858,0.89,0.937
Joint 5: ,0.9,0.996,0.995,0.993,0.99,0.967,0.93,0.886,0.843,0.775
Joint 6: ,0.0,0.079,0.11,0.22,0.22,0.22,0.251,0.251,0.283,0.299
Trial,6,Sim Type,5,Distance Weight,0.9,Random Seed,90,Min Iterations,2500,Distance cost,6.247129163221449,Manip Cost,1.1128625692269816,Total cost,5.733702503822002,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,4.356923585e-11
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.069,0.05,0.05
Total Cost,0.0,0.6,1.2,1.8,2.4,3.0,3.62468,4.47468,5.10419,5.7337
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.24684395861339845,0.2757485450339662,0.29514130590314497,0.29512875967647195
Joint 0: ,-0.2,-0.16,-0.128,-0.097,-0.064,-0.008,0.051,0.132,0.184,0.252
Joint 1: ,0.4,0.433,0.478,0.443,0.451,0.489,0.584,0.698,0.792,0.886
Joint 2: ,0.4,0.416,0.424,0.449,0.441,0.465,0.474,0.446,0.41,0.366
Joint 3: ,0.9,0.952,0.999,1.068,1.144,1.178,1.148,1.129,1.054,0.958
Joint 4: ,0.9,0.892,0.883,0.872,0.825,0.823,0.833,0.876,0.894,0.916
Joint 5: ,0.9,0.92,0.933,0.982,1.029,1.033,0.986,0.94,0.874,0.799
Joint 6: ,0.0,-0.0,-0.0,0.016,0.063,0.063,0.047,-0.047,-0.094,-0.141
Trial,7,Sim Type,5,Distance Weight,0.9,Random Seed,105,Min Iterations,2500,Distance cost,7.390834735340132,Manip Cost,1.1350274520002532,Total cost,6.765254007006145,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.594101874e-11,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.073,0.05,0.05,0.05,0.05,0.05,0.032
Total Cost,0.0,0.6,1.2,1.8,2.4,3.27012,3.87012,4.47012,5.09678,5.72696,6.35533,6.76525
