Trial,1,Sim Type,6,Distance Weight,0.8,Random Seed,15,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Joint 6: ,0.0,0.267,1.076,1.707,2.336,2.399,2.638,2.583,3.126,3.173
Trial,7,Sim Type,6,Distance Weight,0.8,Random Seed,105,Min Iterations,1000,Distance cost,0.41980932114175656,Manip Cost,0.11315167916283721,Total cost,0.32674927009147736,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.045122331848606596,0.04570841428887658,0.047678686752126886,0.05334026370867607,0.030983617083466718
Distance to Last Node,0.0,0.102,0.099,0.12,0.11,0.114
Total Cost,0.0,0.05966,0.12869,0.19702,0.26753,0.32675
Joint 0: ,0.0,-0.191,-0.444,0.353,0.135,-0.006
Joint 1: ,-0.7,-0.354,-0.373,-0.129,0.067,0.315
Joint 2: ,0.0,0.065,-0.002,-0.506,-0.577,-0.612
Joint 3: ,1.5,1.498,1.62,1.583,1.538,1.497
Joint 4: ,0.0,0.264,0.256,-0.219,-0.176,-0.16
Joint 5: ,1.5,1.293,1.156,0.988,0.871,0.73
Joint 6: ,0.0,0.377,0.88,1.004,0.988,1.067
Trial,8,Sim Type,6,Distance Weight,0.8,Random Seed,120,Min Iterations,1000,Distance cost,0.4722803560142066,Manip Cost,0.4200042445508077,Total cost,0.39822803119401423,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.064535088875021,0.06424759886823826,0.06053514988679572,4.278611147e-11,2.475098661e-11,0.0
Distance to Last Node,0.0,0.112,0.099,0.05,0.1,0.05,0.095,0.108
Total Cost,0.0,0.06551,0.12368,0.15821,0.21919,0.2738,0.33831,0.39823
