Joint 1: ,-0.7,-0.929,-1.518,-1.696,-1.564,-1.525,-1.485,-1.744,-1.69,-1.572,-1.447,-1.455,-1.443
Joint 2: ,0.0,-0.389,-0.453,-1.11,-0.929,-0.788,-0.569,-0.805,-1.009,-1.042,-1.011,-1.136,-0.954
Joint 3: ,1.5,1.968,1.273,1.226,1.364,1.168,1.012,1.013,1.235,1.316,1.362,1.312,1.228
Joint 4: ,0.0,-0.229,-1.002,-0.808,-0.62,-0.758,-0.569,-0.77,-0.588,-0.534,-0.461,-0.571,-0.541
Joint 5: ,1.5,1.876,1.858,1.684,1.585,1.433,1.511,1.765,1.598,1.526,1.429,1.304,1.311
Joint 6: ,0.0,-1.272,-2.231,-2.959,-2.84,-2.893,-2.705,-2.799,-2.798,-2.9,-2.743,-2.711,-2.774
Trial,6,Sim Type,6,Distance Weight,0.8,Random Seed,90,Min Iterations,1000,Distance cost,0.5815645929987783,Manip Cost,0.08135485301603743,Total cost,0.45513264980105933,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,0.04348068983390293,0.0544007605799574,0.04816285581436664,1.0,0.03631286912023915,0.052978785000492,0.03339938824106154
Distance to Last Node,0.0,0.089,0.088,0.091,0.086,0.05,0.098,0.05,0.122,0.082
Total Cost,0.0,0.05225,0.10356,0.15673,0.21028,0.243,0.30339,0.32297,0.4053,0.45513
Joint 0: ,0.0,0.445,0.194,0.71,1.542,1.237,1.495,1.65,1.429,1.626
Joint 1: ,-0.7,-0.822,-0.735,-0.825,-0.931,-0.824,-1.232,-1.172,-0.883,-0.935
Joint 2: ,0.0,-0.661,-0.512,-1.108,-1.266,-1.341,-1.665,-1.575,-1.494,-1.527
Joint 3: ,1.5,1.398,1.654,1.543,1.079,1.446,1.432,1.643,1.502,1.465
