Joint 2: ,0.0,-0.389,-0.453,-1.11,-1.034,-0.788,-0.74,-0.654,-0.649,-0.954
Joint 3: ,1.5,1.968,1.273,1.226,1.191,1.168,1.171,1.021,1.067,1.228
Joint 4: ,0.0,-0.229,-1.002,-0.808,-0.762,-0.758,-0.727,-0.596,-0.544,-0.541
Joint 5: ,1.5,1.876,1.858,1.684,1.417,1.433,1.401,1.396,1.576,1.311
Joint 6: ,0.0,-1.272,-2.231,-2.959,-2.908,-2.893,-2.862,-2.681,-2.524,-2.774
Trial,6,Sim Type,6,Distance Weight,1,Random Seed,90,Min Iterations,1000,Distance cost,0.5768952466083174,Manip Cost,0.18686886146765283,Total cost,0.5480504842779015,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,0.04348068983390293,0.0544007605799574,0.0,0.03631286912023915,0.052978785000492,0.03339938824106154
Distance to Last Node,0.0,0.089,0.088,0.091,0.086,0.099,0.093,0.122,0.082
Total Cost,0.0,0.06531,0.12945,0.19592,0.25897,0.33125,0.39927,0.4882,0.54805
Joint 0: ,0.0,0.445,0.194,0.71,1.542,1.937,1.65,1.429,1.626
Joint 1: ,-0.7,-0.822,-0.735,-0.825,-0.931,-1.291,-1.172,-0.883,-0.935
Joint 2: ,0.0,-0.661,-0.512,-1.108,-1.266,-1.613,-1.575,-1.494,-1.527
Joint 3: ,1.5,1.398,1.654,1.543,1.079,0.961,1.643,1.502,1.465
Joint 4: ,0.0,-0.801,-0.466,-0.974,-0.557,-0.079,-0.044,-0.302,-0.222
Joint 5: ,1.5,1.339,1.665,1.248,0.377,-0.01,0.615,0.758,0.739
Joint 6: ,0.0,0.267,1.115,1.602,2.419,2.514,2.343,2.729,2.729
Trial,7,Sim Type,6,Distance Weight,1,Random Seed,105,Min Iterations,1000,Distance cost,0.7243728041240765,Manip Cost,0.2963799231248086,Total cost,0.6881541639178727,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,0.045706774779799335,4.676628378e-11,1.0,0.054730306357102215,4.671264537e-11,0.0
Distance to Last Node,0.0,0.1,0.05,0.124,0.05,0.09,0.113,0.084,0.119,0.094,0.117
Total Cost,0.0,0.07347,0.11002,0.20058,0.23713,0.30293,0.38559,0.44697,0.5339,0.6023,0.68815
Joint 0: ,0.0,0.696,0.711,1.141,1.015,1.519,1.749,1.404,1.499,1.729,1.899
Joint 1: ,-0.7,-0.958,-1.025,-1.012,-1.09,-0.949,-1.081,-1.057,-0.947,-0.998,-1.146
Joint 2: ,0.0,-0.387,-0.449,-0.791,-0.728,-0.842,-1.184,-0.857,-1.206,-1.375,-1.411
Joint 3: ,1.5,0.992,0.967,1.064,1.011,0.797,1.043,0.984,1.128,0.98,1.051
